Student Model,Teacher Model,Accuracy,Classification Report
gpt2_gemma2_9b,gpt2_llama8b,0.95,"{'student': {'precision': 0.938, 'recall': 0.833, 'f1-score': 0.882, 'support': 54.0}, 'teacher': {'precision': 0.953, 'recall': 0.984, 'f1-score': 0.968, 'support': 187.0}, 'accuracy': 0.950207468879668, 'macro avg': {'precision': 0.945, 'recall': 0.909, 'f1-score': 0.925, 'support': 241.0}, 'weighted avg': {'precision': 0.95, 'recall': 0.95, 'f1-score': 0.949, 'support': 241.0}}"
gpt2_gemma2_9b,gpt2_mixtral,0.967,"{'student': {'precision': 0.96, 'recall': 0.889, 'f1-score': 0.923, 'support': 54.0}, 'teacher': {'precision': 0.969, 'recall': 0.989, 'f1-score': 0.979, 'support': 187.0}, 'accuracy': 0.966804979253112, 'macro avg': {'precision': 0.964, 'recall': 0.939, 'f1-score': 0.951, 'support': 241.0}, 'weighted avg': {'precision': 0.967, 'recall': 0.967, 'f1-score': 0.966, 'support': 241.0}}"
gpt2_gemma2_9b,gpt2_llama70b,0.967,"{'student': {'precision': 1.0, 'recall': 0.852, 'f1-score': 0.92, 'support': 54.0}, 'teacher': {'precision': 0.959, 'recall': 1.0, 'f1-score': 0.979, 'support': 187.0}, 'accuracy': 0.966804979253112, 'macro avg': {'precision': 0.979, 'recall': 0.926, 'f1-score': 0.95, 'support': 241.0}, 'weighted avg': {'precision': 0.968, 'recall': 0.967, 'f1-score': 0.966, 'support': 241.0}}"
gpt2_gemma2_9b,gpt2_mistral7b,0.957,"{'student': {'precision': 0.923, 'recall': 0.873, 'f1-score': 0.897, 'support': 55.0}, 'teacher': {'precision': 0.966, 'recall': 0.98, 'f1-score': 0.973, 'support': 200.0}, 'accuracy': 0.9568627450980393, 'macro avg': {'precision': 0.944, 'recall': 0.926, 'f1-score': 0.935, 'support': 255.0}, 'weighted avg': {'precision': 0.956, 'recall': 0.957, 'f1-score': 0.956, 'support': 255.0}}"
gpt2_llama8b,gpt2_mixtral,0.772,"{'student': {'precision': 0.762, 'recall': 0.79, 'f1-score': 0.776, 'support': 186.0}, 'teacher': {'precision': 0.783, 'recall': 0.754, 'f1-score': 0.768, 'support': 187.0}, 'accuracy': 0.7721179624664879, 'macro avg': {'precision': 0.772, 'recall': 0.772, 'f1-score': 0.772, 'support': 373.0}, 'weighted avg': {'precision': 0.773, 'recall': 0.772, 'f1-score': 0.772, 'support': 373.0}}"
gpt2_llama8b,gpt2_llama70b,0.633,"{'student': {'precision': 0.644, 'recall': 0.599, 'f1-score': 0.62, 'support': 187.0}, 'teacher': {'precision': 0.623, 'recall': 0.667, 'f1-score': 0.644, 'support': 186.0}, 'accuracy': 0.6327077747989276, 'macro avg': {'precision': 0.633, 'recall': 0.633, 'f1-score': 0.632, 'support': 373.0}, 'weighted avg': {'precision': 0.633, 'recall': 0.633, 'f1-score': 0.632, 'support': 373.0}}"
gpt2_llama8b,gpt2_mistral7b,0.804,"{'student': {'precision': 0.797, 'recall': 0.797, 'f1-score': 0.797, 'support': 187.0}, 'teacher': {'precision': 0.81, 'recall': 0.81, 'f1-score': 0.81, 'support': 200.0}, 'accuracy': 0.8036175710594315, 'macro avg': {'precision': 0.803, 'recall': 0.803, 'f1-score': 0.803, 'support': 387.0}, 'weighted avg': {'precision': 0.804, 'recall': 0.804, 'f1-score': 0.804, 'support': 387.0}}"
gpt2_mixtral,gpt2_llama70b,0.828,"{'student': {'precision': 0.832, 'recall': 0.824, 'f1-score': 0.828, 'support': 187.0}, 'teacher': {'precision': 0.824, 'recall': 0.833, 'f1-score': 0.829, 'support': 186.0}, 'accuracy': 0.8284182305630027, 'macro avg': {'precision': 0.828, 'recall': 0.828, 'f1-score': 0.828, 'support': 373.0}, 'weighted avg': {'precision': 0.828, 'recall': 0.828, 'f1-score': 0.828, 'support': 373.0}}"
gpt2_mixtral,gpt2_mistral7b,0.708,"{'student': {'precision': 0.701, 'recall': 0.69, 'f1-score': 0.695, 'support': 187.0}, 'teacher': {'precision': 0.714, 'recall': 0.725, 'f1-score': 0.72, 'support': 200.0}, 'accuracy': 0.7080103359173127, 'macro avg': {'precision': 0.708, 'recall': 0.707, 'f1-score': 0.708, 'support': 387.0}, 'weighted avg': {'precision': 0.708, 'recall': 0.708, 'f1-score': 0.708, 'support': 387.0}}"
gpt2_llama70b,gpt2_mistral7b,0.871,"{'student': {'precision': 0.883, 'recall': 0.845, 'f1-score': 0.863, 'support': 187.0}, 'teacher': {'precision': 0.861, 'recall': 0.895, 'f1-score': 0.877, 'support': 200.0}, 'accuracy': 0.8708010335917312, 'macro avg': {'precision': 0.872, 'recall': 0.87, 'f1-score': 0.87, 'support': 387.0}, 'weighted avg': {'precision': 0.871, 'recall': 0.871, 'f1-score': 0.871, 'support': 387.0}}"
