Student Model,Teacher Model,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,gpt2_llama8b,0.149,0.123,0.006,0.103
gpt2_gemma2_9b,gpt2_mixtral,0.183,0.142,0.005,0.116
gpt2_gemma2_9b,gpt2_llama70b,0.183,0.138,0.006,0.112
gpt2_gemma2_9b,gpt2_mistral7b,0.178,0.12,0.006,0.103
gpt2_llama8b,gpt2_gemma2_9b,0.378,0.174,0.021,0.156
gpt2_llama8b,gpt2_mixtral,0.395,0.169,0.019,0.153
gpt2_llama8b,gpt2_llama70b,0.373,0.167,0.019,0.147
gpt2_llama8b,gpt2_mistral7b,0.394,0.169,0.022,0.15
gpt2_mixtral,gpt2_gemma2_9b,0.399,0.162,0.016,0.145
gpt2_mixtral,gpt2_llama8b,0.388,0.172,0.02,0.154
gpt2_mixtral,gpt2_llama70b,0.4,0.169,0.019,0.146
gpt2_mixtral,gpt2_mistral7b,0.414,0.168,0.021,0.152
gpt2_llama70b,gpt2_gemma2_9b,0.344,0.172,0.018,0.151
gpt2_llama70b,gpt2_llama8b,0.357,0.17,0.019,0.149
gpt2_llama70b,gpt2_mixtral,0.364,0.168,0.018,0.148
gpt2_llama70b,gpt2_mistral7b,0.38,0.171,0.019,0.152
gpt2_mistral7b,gpt2_gemma2_9b,0.394,0.167,0.018,0.15
gpt2_mistral7b,gpt2_llama8b,0.383,0.172,0.021,0.153
gpt2_mistral7b,gpt2_mixtral,0.427,0.171,0.022,0.152
gpt2_mistral7b,gpt2_llama70b,0.402,0.17,0.019,0.148
