Student Model,Teacher Model,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,llama8b,0.548,0.339,0.122,0.305
gpt2_gemma2_9b,mixtral,0.548,0.268,0.096,0.25
gpt2_gemma2_9b,llama70b,0.549,0.357,0.131,0.323
gpt2_llama8b,gemma2_9b,0.602,0.378,0.146,0.345
gpt2_llama8b,mixtral,0.546,0.261,0.09,0.243
gpt2_llama8b,llama70b,0.59,0.368,0.139,0.338
gpt2_mixtral,gemma2_9b,0.519,0.358,0.161,0.317
gpt2_mixtral,llama8b,0.505,0.362,0.157,0.318
gpt2_mixtral,llama70b,0.509,0.364,0.165,0.32
gpt2_llama70b,gemma2_9b,0.591,0.421,0.188,0.385
gpt2_llama70b,llama8b,0.538,0.359,0.134,0.324
gpt2_llama70b,mixtral,0.49,0.28,0.104,0.261
