Student Model,Teacher Model,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,llama8b,0.499,0.415,0.191,0.382
gpt2_gemma2_9b,mixtral,0.539,0.428,0.184,0.382
gpt2_gemma2_9b,llama70b,0.55,0.453,0.213,0.402
gpt2_llama8b,gemma2_9b,0.538,0.447,0.203,0.406
gpt2_llama8b,mixtral,0.597,0.486,0.248,0.439
gpt2_llama8b,llama70b,0.543,0.46,0.217,0.408
gpt2_mixtral,gemma2_9b,0.56,0.461,0.207,0.41
gpt2_mixtral,llama8b,0.535,0.449,0.225,0.412
gpt2_mixtral,llama70b,0.545,0.463,0.204,0.407
gpt2_llama70b,gemma2_9b,0.491,0.4,0.169,0.343
gpt2_llama70b,llama8b,0.523,0.424,0.217,0.387
gpt2_llama70b,mixtral,0.516,0.401,0.185,0.361
