Student Model,Teacher Model,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,llama8b,0.455,0.176,0.022,0.162
gpt2_gemma2_9b,mixtral,0.445,0.169,0.021,0.157
gpt2_gemma2_9b,llama70b,0.408,0.152,0.016,0.143
gpt2_gemma2_9b,mistral7b,0.478,0.164,0.024,0.156
gpt2_llama8b,gemma2_9b,0.416,0.184,0.026,0.173
gpt2_llama8b,mixtral,0.426,0.169,0.024,0.158
gpt2_llama8b,llama70b,0.395,0.159,0.021,0.15
gpt2_llama8b,mistral7b,0.456,0.178,0.031,0.17
gpt2_mixtral,gemma2_9b,0.416,0.174,0.024,0.161
gpt2_mixtral,llama8b,0.418,0.168,0.022,0.152
gpt2_mixtral,llama70b,0.388,0.165,0.02,0.152
gpt2_mixtral,mistral7b,0.464,0.17,0.031,0.157
gpt2_llama70b,gemma2_9b,0.365,0.158,0.017,0.144
gpt2_llama70b,llama8b,0.365,0.158,0.018,0.144
gpt2_llama70b,mixtral,0.38,0.173,0.021,0.158
gpt2_llama70b,mistral7b,0.387,0.157,0.018,0.144
gpt2_mistral7b,gemma2_9b,0.414,0.175,0.022,0.161
gpt2_mistral7b,llama8b,0.434,0.185,0.028,0.171
gpt2_mistral7b,mixtral,0.423,0.166,0.023,0.154
gpt2_mistral7b,llama70b,0.403,0.158,0.019,0.147
