Student Model,Teacher Model,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,llama8b,0.414,0.181,0.02,0.167
gpt2_gemma2_9b,mixtral,0.391,0.176,0.017,0.158
gpt2_gemma2_9b,llama70b,0.335,0.16,0.011,0.146
gpt2_gemma2_9b,mistral7b,0.436,0.165,0.02,0.157
gpt2_llama8b,gemma2_9b,0.406,0.181,0.025,0.169
gpt2_llama8b,mixtral,0.401,0.168,0.021,0.155
gpt2_llama8b,llama70b,0.348,0.165,0.019,0.151
gpt2_llama8b,mistral7b,0.446,0.176,0.029,0.165
gpt2_mixtral,gemma2_9b,0.384,0.176,0.021,0.163
gpt2_mixtral,llama8b,0.402,0.169,0.023,0.154
gpt2_mixtral,llama70b,0.383,0.168,0.02,0.154
gpt2_mixtral,mistral7b,0.439,0.176,0.03,0.164
gpt2_llama70b,gemma2_9b,0.312,0.162,0.016,0.15
gpt2_llama70b,llama8b,0.335,0.159,0.016,0.144
gpt2_llama70b,mixtral,0.361,0.175,0.018,0.159
gpt2_llama70b,mistral7b,0.357,0.163,0.018,0.15
gpt2_mistral7b,gemma2_9b,0.398,0.177,0.023,0.163
gpt2_mistral7b,llama8b,0.425,0.189,0.028,0.173
gpt2_mistral7b,mixtral,0.395,0.171,0.023,0.159
gpt2_mistral7b,llama70b,0.366,0.169,0.018,0.157
