Student Model,Teacher Model,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,llama8b,0.602,0.237,0.076,0.21
gpt2_gemma2_9b,mixtral,0.592,0.259,0.08,0.229
gpt2_gemma2_9b,llama70b,0.584,0.242,0.07,0.214
gpt2_llama8b,gemma2_9b,0.615,0.262,0.077,0.232
gpt2_llama8b,mixtral,0.625,0.293,0.093,0.257
gpt2_llama8b,llama70b,0.613,0.262,0.081,0.229
gpt2_mixtral,gemma2_9b,0.64,0.271,0.092,0.236
gpt2_mixtral,llama8b,0.654,0.27,0.087,0.237
gpt2_mixtral,llama70b,0.636,0.257,0.082,0.224
gpt2_llama70b,gemma2_9b,0.613,0.248,0.071,0.224
gpt2_llama70b,llama8b,0.634,0.255,0.081,0.228
gpt2_llama70b,mixtral,0.621,0.268,0.089,0.236
