Student Model,Teacher Model,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,llama8b,0.556,0.249,0.063,0.216
gpt2_gemma2_9b,mixtral,0.587,0.274,0.073,0.231
gpt2_gemma2_9b,llama70b,0.568,0.252,0.064,0.224
gpt2_llama8b,gemma2_9b,0.587,0.258,0.071,0.227
gpt2_llama8b,mixtral,0.617,0.296,0.091,0.262
gpt2_llama8b,llama70b,0.578,0.256,0.073,0.226
gpt2_mixtral,gemma2_9b,0.614,0.268,0.081,0.235
gpt2_mixtral,llama8b,0.607,0.27,0.076,0.235
gpt2_mixtral,llama70b,0.611,0.27,0.08,0.235
gpt2_llama70b,gemma2_9b,0.597,0.249,0.07,0.221
gpt2_llama70b,llama8b,0.591,0.252,0.074,0.223
gpt2_llama70b,mixtral,0.618,0.276,0.081,0.24
