Model 1,Model 2,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,gpt2_llama8b,0.498,0.2,0.038,0.189
gpt2_gemma2_9b,gpt2_mixtral,0.443,0.195,0.03,0.18
gpt2_gemma2_9b,gpt2_llama70b,0.39,0.172,0.021,0.161
gpt2_gemma2_9b,gpt2_mistral7b,0.483,0.184,0.029,0.174
gpt2_llama8b,gpt2_mixtral,0.451,0.179,0.031,0.169
gpt2_llama8b,gpt2_llama70b,0.393,0.183,0.021,0.171
gpt2_llama8b,gpt2_mistral7b,0.479,0.187,0.035,0.176
gpt2_mixtral,gpt2_llama70b,0.391,0.179,0.02,0.164
gpt2_mixtral,gpt2_mistral7b,0.47,0.19,0.036,0.178
gpt2_llama70b,gpt2_mistral7b,0.382,0.169,0.02,0.156
