Student Model,Teacher Model,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,llama8b,0.561,0.453,0.198,0.403
gpt2_gemma2_9b,mixtral,0.555,0.412,0.19,0.367
gpt2_gemma2_9b,llama70b,0.53,0.412,0.17,0.351
gpt2_llama8b,gemma2_9b,0.593,0.465,0.219,0.411
gpt2_llama8b,mixtral,0.54,0.448,0.238,0.408
gpt2_llama8b,llama70b,0.522,0.425,0.184,0.363
gpt2_mixtral,gemma2_9b,0.601,0.466,0.2,0.405
gpt2_mixtral,llama8b,0.599,0.493,0.23,0.438
gpt2_mixtral,llama70b,0.547,0.446,0.186,0.38
gpt2_llama70b,gemma2_9b,0.518,0.4,0.185,0.361
gpt2_llama70b,llama8b,0.517,0.415,0.191,0.369
gpt2_llama70b,mixtral,0.56,0.442,0.263,0.412
