Student Model,Teacher Model,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,llama8b,0.741,0.587,0.395,0.546
gpt2_gemma2_9b,mixtral,0.736,0.58,0.382,0.533
gpt2_gemma2_9b,llama70b,0.835,0.711,0.572,0.679
gpt2_llama8b,gemma2_9b,0.777,0.623,0.409,0.566
gpt2_llama8b,mixtral,0.742,0.589,0.363,0.53
gpt2_llama8b,llama70b,0.752,0.571,0.403,0.534
gpt2_mixtral,gemma2_9b,0.797,0.632,0.427,0.584
gpt2_mixtral,llama8b,0.743,0.597,0.363,0.541
gpt2_mixtral,llama70b,0.759,0.573,0.408,0.54
gpt2_llama70b,gemma2_9b,0.825,0.692,0.502,0.633
gpt2_llama70b,llama8b,0.767,0.628,0.41,0.566
gpt2_llama70b,mixtral,0.745,0.577,0.375,0.52
