Model 1,Model 2,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,gpt2_llama8b,0.281,0.125,0.011,0.113
gpt2_gemma2_9b,gpt2_mixtral,0.301,0.112,0.006,0.101
gpt2_gemma2_9b,gpt2_llama70b,0.265,0.128,0.008,0.107
gpt2_gemma2_9b,gpt2_mistral7b,0.302,0.116,0.01,0.104
gpt2_llama8b,gpt2_mixtral,0.427,0.176,0.024,0.157
gpt2_llama8b,gpt2_llama70b,0.386,0.167,0.02,0.15
gpt2_llama8b,gpt2_mistral7b,0.419,0.168,0.025,0.149
gpt2_mixtral,gpt2_llama70b,0.402,0.163,0.02,0.148
gpt2_mixtral,gpt2_mistral7b,0.446,0.17,0.024,0.153
gpt2_llama70b,gpt2_mistral7b,0.412,0.169,0.021,0.153
