Model 1,Model 2,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,gpt2_llama8b,0.295,0.116,0.006,0.103
gpt2_gemma2_9b,gpt2_mixtral,0.321,0.105,0.011,0.093
gpt2_gemma2_9b,gpt2_llama70b,0.323,0.137,0.014,0.114
gpt2_gemma2_9b,gpt2_mistral7b,0.315,0.11,0.008,0.098
gpt2_llama8b,gpt2_mixtral,0.439,0.173,0.026,0.156
gpt2_llama8b,gpt2_llama70b,0.411,0.176,0.032,0.156
gpt2_llama8b,gpt2_mistral7b,0.41,0.165,0.023,0.146
gpt2_mixtral,gpt2_llama70b,0.418,0.162,0.019,0.144
gpt2_mixtral,gpt2_mistral7b,0.449,0.173,0.029,0.154
gpt2_llama70b,gpt2_mistral7b,0.414,0.161,0.021,0.147
