Student Model,Teacher Model,Accuracy,Classification Report
gpt2_gemma2_9b,llama8b,0.692,"{'student': {'precision': 0.4, 'recall': 0.667, 'f1-score': 0.5, 'support': 3.0}, 'teacher': {'precision': 0.875, 'recall': 0.7, 'f1-score': 0.778, 'support': 10.0}, 'accuracy': 0.6923076923076923, 'macro avg': {'precision': 0.637, 'recall': 0.683, 'f1-score': 0.639, 'support': 13.0}, 'weighted avg': {'precision': 0.765, 'recall': 0.692, 'f1-score': 0.714, 'support': 13.0}}"
gpt2_gemma2_9b,mixtral,0.923,"{'student': {'precision': 1.0, 'recall': 0.667, 'f1-score': 0.8, 'support': 3.0}, 'teacher': {'precision': 0.909, 'recall': 1.0, 'f1-score': 0.952, 'support': 10.0}, 'accuracy': 0.9230769230769231, 'macro avg': {'precision': 0.955, 'recall': 0.833, 'f1-score': 0.876, 'support': 13.0}, 'weighted avg': {'precision': 0.93, 'recall': 0.923, 'f1-score': 0.917, 'support': 13.0}}"
gpt2_gemma2_9b,llama70b,0.846,"{'student': {'precision': 0.667, 'recall': 0.667, 'f1-score': 0.667, 'support': 3.0}, 'teacher': {'precision': 0.9, 'recall': 0.9, 'f1-score': 0.9, 'support': 10.0}, 'accuracy': 0.8461538461538461, 'macro avg': {'precision': 0.783, 'recall': 0.783, 'f1-score': 0.783, 'support': 13.0}, 'weighted avg': {'precision': 0.846, 'recall': 0.846, 'f1-score': 0.846, 'support': 13.0}}"
gpt2_gemma2_9b,mistral7b,0.929,"{'student': {'precision': 1.0, 'recall': 0.75, 'f1-score': 0.857, 'support': 4.0}, 'teacher': {'precision': 0.909, 'recall': 1.0, 'f1-score': 0.952, 'support': 10.0}, 'accuracy': 0.9285714285714286, 'macro avg': {'precision': 0.955, 'recall': 0.875, 'f1-score': 0.905, 'support': 14.0}, 'weighted avg': {'precision': 0.935, 'recall': 0.929, 'f1-score': 0.925, 'support': 14.0}}"
gpt2_llama8b,mixtral,0.579,"{'student': {'precision': 0.583, 'recall': 0.7, 'f1-score': 0.636, 'support': 10.0}, 'teacher': {'precision': 0.571, 'recall': 0.444, 'f1-score': 0.5, 'support': 9.0}, 'accuracy': 0.5789473684210527, 'macro avg': {'precision': 0.577, 'recall': 0.572, 'f1-score': 0.568, 'support': 19.0}, 'weighted avg': {'precision': 0.578, 'recall': 0.579, 'f1-score': 0.572, 'support': 19.0}}"
gpt2_llama8b,llama70b,0.211,"{'student': {'precision': 0.222, 'recall': 0.2, 'f1-score': 0.211, 'support': 10.0}, 'teacher': {'precision': 0.2, 'recall': 0.222, 'f1-score': 0.211, 'support': 9.0}, 'accuracy': 0.21052631578947367, 'macro avg': {'precision': 0.211, 'recall': 0.211, 'f1-score': 0.211, 'support': 19.0}, 'weighted avg': {'precision': 0.212, 'recall': 0.211, 'f1-score': 0.211, 'support': 19.0}}"
gpt2_llama8b,mistral7b,0.3,"{'student': {'precision': 0.333, 'recall': 0.4, 'f1-score': 0.364, 'support': 10.0}, 'teacher': {'precision': 0.25, 'recall': 0.2, 'f1-score': 0.222, 'support': 10.0}, 'accuracy': 0.3, 'macro avg': {'precision': 0.292, 'recall': 0.3, 'f1-score': 0.293, 'support': 20.0}, 'weighted avg': {'precision': 0.292, 'recall': 0.3, 'f1-score': 0.293, 'support': 20.0}}"
gpt2_mixtral,llama70b,0.737,"{'student': {'precision': 0.857, 'recall': 0.6, 'f1-score': 0.706, 'support': 10.0}, 'teacher': {'precision': 0.667, 'recall': 0.889, 'f1-score': 0.762, 'support': 9.0}, 'accuracy': 0.7368421052631579, 'macro avg': {'precision': 0.762, 'recall': 0.744, 'f1-score': 0.734, 'support': 19.0}, 'weighted avg': {'precision': 0.767, 'recall': 0.737, 'f1-score': 0.732, 'support': 19.0}}"
gpt2_mixtral,mistral7b,0.1,"{'student': {'precision': 0.1, 'recall': 0.1, 'f1-score': 0.1, 'support': 10.0}, 'teacher': {'precision': 0.1, 'recall': 0.1, 'f1-score': 0.1, 'support': 10.0}, 'accuracy': 0.1, 'macro avg': {'precision': 0.1, 'recall': 0.1, 'f1-score': 0.1, 'support': 20.0}, 'weighted avg': {'precision': 0.1, 'recall': 0.1, 'f1-score': 0.1, 'support': 20.0}}"
gpt2_llama70b,mistral7b,0.5,"{'student': {'precision': 0.5, 'recall': 0.7, 'f1-score': 0.583, 'support': 10.0}, 'teacher': {'precision': 0.5, 'recall': 0.3, 'f1-score': 0.375, 'support': 10.0}, 'accuracy': 0.5, 'macro avg': {'precision': 0.5, 'recall': 0.5, 'f1-score': 0.479, 'support': 20.0}, 'weighted avg': {'precision': 0.5, 'recall': 0.5, 'f1-score': 0.479, 'support': 20.0}}"
