Model 1,Model 2,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,gpt2_llama8b,0.196,0.132,0.007,0.11
gpt2_gemma2_9b,gpt2_mixtral,0.207,0.137,0.007,0.116
gpt2_gemma2_9b,gpt2_llama70b,0.194,0.131,0.007,0.114
gpt2_gemma2_9b,gpt2_mistral7b,0.187,0.133,0.007,0.115
gpt2_llama8b,gpt2_mixtral,0.4,0.17,0.02,0.153
gpt2_llama8b,gpt2_llama70b,0.367,0.172,0.02,0.154
gpt2_llama8b,gpt2_mistral7b,0.395,0.166,0.019,0.149
gpt2_mixtral,gpt2_llama70b,0.371,0.174,0.018,0.155
gpt2_mixtral,gpt2_mistral7b,0.417,0.172,0.021,0.155
gpt2_llama70b,gpt2_mistral7b,0.369,0.168,0.017,0.15
