Student Model,Teacher Model,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,llama8b,0.172,0.114,0.002,0.097
gpt2_gemma2_9b,mixtral,0.191,0.128,0.006,0.106
gpt2_gemma2_9b,llama70b,0.2,0.144,0.008,0.125
gpt2_gemma2_9b,mistral7b,0.172,0.131,0.006,0.118
gpt2_llama8b,gemma2_9b,0.348,0.162,0.013,0.141
gpt2_llama8b,mixtral,0.396,0.174,0.02,0.156
gpt2_llama8b,llama70b,0.392,0.186,0.031,0.166
gpt2_llama8b,mistral7b,0.397,0.17,0.021,0.151
gpt2_mixtral,gemma2_9b,0.364,0.161,0.016,0.146
gpt2_mixtral,llama8b,0.396,0.175,0.021,0.154
gpt2_mixtral,llama70b,0.382,0.172,0.022,0.152
gpt2_mixtral,mistral7b,0.427,0.175,0.024,0.154
gpt2_llama70b,gemma2_9b,0.365,0.175,0.016,0.16
gpt2_llama70b,llama8b,0.361,0.17,0.026,0.152
gpt2_llama70b,mixtral,0.36,0.168,0.014,0.149
gpt2_llama70b,mistral7b,0.339,0.163,0.017,0.146
gpt2_mistral7b,gemma2_9b,0.365,0.166,0.012,0.152
gpt2_mistral7b,llama8b,0.386,0.164,0.018,0.146
gpt2_mistral7b,mixtral,0.41,0.17,0.023,0.154
gpt2_mistral7b,llama70b,0.382,0.163,0.018,0.145
