Student Model,Teacher Model,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,llama8b,0.541,0.362,0.135,0.327
gpt2_gemma2_9b,mixtral,0.546,0.259,0.091,0.241
gpt2_gemma2_9b,llama70b,0.543,0.336,0.113,0.295
gpt2_llama8b,gemma2_9b,0.582,0.399,0.17,0.363
gpt2_llama8b,mixtral,0.498,0.274,0.107,0.254
gpt2_llama8b,llama70b,0.535,0.358,0.136,0.318
gpt2_mixtral,gemma2_9b,0.6,0.373,0.142,0.339
gpt2_mixtral,llama8b,0.592,0.373,0.142,0.343
gpt2_mixtral,llama70b,0.562,0.326,0.105,0.297
gpt2_llama70b,gemma2_9b,0.516,0.365,0.156,0.316
gpt2_llama70b,llama8b,0.513,0.379,0.163,0.338
gpt2_llama70b,mixtral,0.535,0.381,0.204,0.348
