Student Model,Teacher Model,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,llama8b,0.6,0.468,0.217,0.411
gpt2_gemma2_9b,mixtral,0.58,0.471,0.218,0.414
gpt2_gemma2_9b,llama70b,0.556,0.459,0.207,0.396
gpt2_llama8b,gemma2_9b,0.55,0.425,0.209,0.39
gpt2_llama8b,mixtral,0.57,0.447,0.2,0.39
gpt2_llama8b,llama70b,0.561,0.443,0.205,0.39
gpt2_mixtral,gemma2_9b,0.553,0.431,0.235,0.397
gpt2_mixtral,llama8b,0.52,0.394,0.192,0.353
gpt2_mixtral,llama70b,0.5,0.39,0.178,0.343
gpt2_llama70b,gemma2_9b,0.549,0.452,0.228,0.414
gpt2_llama70b,llama8b,0.618,0.499,0.251,0.446
gpt2_llama70b,mixtral,0.583,0.473,0.225,0.418
