Student Model,Teacher Model,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,llama8b,0.561,0.223,0.061,0.198
gpt2_gemma2_9b,mixtral,0.596,0.257,0.075,0.229
gpt2_gemma2_9b,llama70b,0.568,0.232,0.058,0.205
gpt2_llama8b,gemma2_9b,0.584,0.232,0.062,0.204
gpt2_llama8b,mixtral,0.632,0.289,0.092,0.252
gpt2_llama8b,llama70b,0.595,0.255,0.079,0.221
gpt2_mixtral,gemma2_9b,0.641,0.261,0.086,0.234
gpt2_mixtral,llama8b,0.634,0.261,0.08,0.225
gpt2_mixtral,llama70b,0.639,0.262,0.08,0.231
gpt2_llama70b,gemma2_9b,0.601,0.241,0.069,0.214
gpt2_llama70b,llama8b,0.63,0.266,0.085,0.235
gpt2_llama70b,mixtral,0.654,0.285,0.095,0.248
