Student Model,Teacher Model,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,gemma2_9b,0.202,0.118,0.035,0.109
gpt2_gemma2_9b,llama8b,0.151,0.07,0.008,0.061
gpt2_gemma2_9b,mixtral,0.142,0.067,0.008,0.062
gpt2_gemma2_9b,llama70b,0.143,0.069,0.007,0.066
gpt2_gemma2_9b,mistral7b,0.132,0.059,0.005,0.055
gpt2_llama8b,gemma2_9b,0.225,0.119,0.019,0.112
gpt2_llama8b,llama8b,0.392,0.268,0.081,0.245
gpt2_llama8b,mixtral,0.27,0.135,0.014,0.126
gpt2_llama8b,llama70b,0.258,0.139,0.02,0.128
gpt2_llama8b,mistral7b,0.243,0.133,0.013,0.126
gpt2_mixtral,gemma2_9b,0.231,0.109,0.011,0.102
gpt2_mixtral,llama8b,0.222,0.123,0.01,0.115
gpt2_mixtral,mixtral,0.441,0.236,0.069,0.213
gpt2_mixtral,llama70b,0.237,0.113,0.009,0.103
gpt2_mixtral,mistral7b,0.259,0.126,0.01,0.116
gpt2_llama70b,gemma2_9b,0.199,0.126,0.022,0.112
gpt2_llama70b,llama8b,0.158,0.126,0.017,0.11
gpt2_llama70b,mixtral,0.19,0.121,0.011,0.11
gpt2_llama70b,llama70b,0.363,0.247,0.072,0.216
gpt2_llama70b,mistral7b,0.2,0.125,0.009,0.114
gpt2_mistral7b,gemma2_9b,0.126,0.049,0.005,0.045
gpt2_mistral7b,llama8b,0.129,0.061,0.004,0.056
gpt2_mistral7b,mixtral,0.132,0.059,0.005,0.052
gpt2_mistral7b,llama70b,0.132,0.056,0.005,0.052
gpt2_mistral7b,mistral7b,0.236,0.129,0.04,0.123
