Student Model,Teacher Model,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,gemma2_9b,0.164,0.126,0.03,0.112
gpt2_gemma2_9b,llama8b,0.101,0.075,0.007,0.063
gpt2_gemma2_9b,mixtral,0.121,0.083,0.01,0.076
gpt2_gemma2_9b,llama70b,0.116,0.096,0.012,0.084
gpt2_gemma2_9b,mistral7b,0.089,0.059,0.003,0.054
gpt2_llama8b,gemma2_9b,0.199,0.13,0.02,0.121
gpt2_llama8b,llama8b,0.376,0.288,0.09,0.26
gpt2_llama8b,mixtral,0.265,0.146,0.012,0.134
gpt2_llama8b,llama70b,0.238,0.155,0.02,0.138
gpt2_llama8b,mistral7b,0.233,0.144,0.013,0.133
gpt2_mixtral,gemma2_9b,0.176,0.121,0.009,0.11
gpt2_mixtral,llama8b,0.167,0.139,0.011,0.128
gpt2_mixtral,mixtral,0.409,0.276,0.078,0.236
gpt2_mixtral,llama70b,0.202,0.139,0.009,0.125
gpt2_mixtral,mistral7b,0.211,0.149,0.008,0.135
gpt2_llama70b,gemma2_9b,0.169,0.132,0.019,0.112
gpt2_llama70b,llama8b,0.154,0.132,0.02,0.114
gpt2_llama70b,mixtral,0.172,0.138,0.01,0.124
gpt2_llama70b,llama70b,0.338,0.28,0.084,0.234
gpt2_llama70b,mistral7b,0.196,0.128,0.01,0.116
gpt2_mistral7b,gemma2_9b,0.102,0.058,0.005,0.055
gpt2_mistral7b,llama8b,0.11,0.074,0.005,0.067
gpt2_mistral7b,mixtral,0.12,0.07,0.006,0.062
gpt2_mistral7b,llama70b,0.097,0.064,0.005,0.059
gpt2_mistral7b,mistral7b,0.207,0.148,0.043,0.137
