Student Model,Teacher Model,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,gemma2_9b,0.202,0.133,0.059,0.123
gpt2_gemma2_9b,llama8b,0.052,0.041,0.002,0.038
gpt2_gemma2_9b,mixtral,0.16,0.095,0.011,0.084
gpt2_gemma2_9b,llama70b,0.073,0.036,0.005,0.036
gpt2_gemma2_9b,mistral7b,0.067,0.036,0.003,0.035
gpt2_llama8b,gemma2_9b,0.116,0.094,0.01,0.088
gpt2_llama8b,llama8b,0.224,0.162,0.034,0.147
gpt2_llama8b,mixtral,0.101,0.067,0.005,0.058
gpt2_llama8b,llama70b,0.079,0.059,0.006,0.055
gpt2_llama8b,mistral7b,0.148,0.118,0.007,0.106
gpt2_mixtral,gemma2_9b,0.239,0.148,0.017,0.13
gpt2_mixtral,llama8b,0.211,0.119,0.011,0.109
gpt2_mixtral,mixtral,0.431,0.224,0.057,0.209
gpt2_mixtral,llama70b,0.265,0.146,0.018,0.14
gpt2_mixtral,mistral7b,0.301,0.157,0.024,0.137
gpt2_llama70b,gemma2_9b,0.157,0.11,0.017,0.097
gpt2_llama70b,llama8b,0.153,0.101,0.012,0.089
gpt2_llama70b,mixtral,0.217,0.107,0.01,0.101
gpt2_llama70b,llama70b,0.266,0.187,0.047,0.152
gpt2_llama70b,mistral7b,0.145,0.095,0.003,0.09
gpt2_mistral7b,gemma2_9b,0.179,0.088,0.009,0.077
gpt2_mistral7b,llama8b,0.187,0.079,0.006,0.065
gpt2_mistral7b,mixtral,0.253,0.097,0.012,0.093
gpt2_mistral7b,llama70b,0.221,0.089,0.01,0.085
gpt2_mistral7b,mistral7b,0.344,0.173,0.056,0.16
