feature,importance
the,2.527492104498208e-15
is,1.4849232954361469e-15
in,9.159339953157541e-16
to,7.424616477180734e-16
energy,6.800116025829084e-16
and,6.591949208711867e-16
into,5.065392549852277e-16
of,4.787836793695988e-16
organisms,4.367166350771612e-16
air,4.3021142204224816e-16
in the,3.920475055707584e-16
living,3.8250652645288596e-16
body,3.7816971776294395e-16
their,3.7470027081099033e-16
convert,3.625572064791527e-16
temperature,3.5041414214731503e-16
answer is,3.4889625910583533e-16
it,3.2959746043559335e-16
the body,3.2786273695961654e-16
living organisms,3.2764589652511944e-16
answer is because,3.2482697087665713e-16
answer,3.222248856626919e-16
substances,3.0986498089635717e-16
essential,3.0704605524789486e-16
that,2.914335439641036e-16
electrical,2.892651396191326e-16
the answer is,2.8796409701215e-16
this,2.740863092043355e-16
the answer,2.706168622523819e-16
because,2.667137344314341e-16
is because,2.654126918244515e-16
from,2.42861286636753e-16
process,2.393918396847994e-16
zebras,2.3527187142935446e-16
require,2.2898349882893854e-16
this process,2.2811613709095013e-16
and minerals,2.1684043449710089e-16
minerals,2.1684043449710089e-16
from the,2.1662359406260379e-16
contrast,2.1510571102112408e-16
in contrast,2.1510571102112408e-16
options,2.1337098754514727e-16
to the,2.0990154059319366e-16
of the,2.0903417885520525e-16
air and minerals,2.0469737016526324e-16
as,2.0469737016526324e-16
often,2.038842185358991e-16
rationale,2.0296264668928643e-16
for,2.0296264668928643e-16
therefore,2.0122792321330962e-16
air and,1.9905951886833861e-16
the other options,1.97758476261356e-16
electricity,1.942890293094024e-16
known,1.938553484404082e-16
that can,1.9081958235744878e-16
be,1.8735013540549517e-16
context,1.8735013540549517e-16
for the,1.8539857149502126e-16
the rationale for,1.7780915628762273e-16
that the,1.7694179454963432e-16
electrical energy,1.7607443281164592e-16
water air and,1.7520707107365752e-16
other options,1.7520707107365752e-16
water air,1.7520707107365752e-16
which is,1.734723475976807e-16
necessary,1.734723475976807e-16
convert electrical energy,1.7314708694593506e-16
energy into,1.7314708694593506e-16
convert electrical,1.7314708694593506e-16
electrical energy into,1.7314708694593506e-16
increase,1.700029006457271e-16
the other,1.695692197767329e-16
from the sun,1.695692197767329e-16
water,1.687018580387445e-16
process is,1.6653345369377348e-16
midnorth,1.6393136847980827e-16
growth,1.6132928326584306e-16
can,1.5785983631388945e-16
survival,1.5699247457590104e-16
found,1.5439038936193583e-16
glucose,1.5439038936193583e-16
found in,1.5439038936193583e-16
warmer,1.5373986805844453e-16
the midnorth,1.5265566588595902e-16
midnorth is,1.5265566588595902e-16
transfer,1.5265566588595902e-16
the midnorth is,1.5265566588595902e-16
north,1.5265566588595902e-16
energy from,1.491862189340054e-16
body temperature,1.491862189340054e-16
rate,1.48318857196017e-16
therefore the rationale,1.470178145890344e-16
oxygen,1.465841337200402e-16
like water,1.457167719820518e-16
it is,1.457167719820518e-16
essential for,1.448494102440634e-16
zebra,1.4268100589909238e-16
this process is,1.4224732503009818e-16
cold,1.4094628242311558e-16
the population,1.4051260155412137e-16
like,1.3877787807814457e-16
substances like water,1.3877787807814457e-16
essential substances,1.3877787807814457e-16
substances like,1.3877787807814457e-16
require essential substances,1.3877787807814457e-16
like water air,1.3877787807814457e-16
living organisms and,1.3877787807814457e-16
carbon,1.3877787807814457e-16
sun,1.3834419720915037e-16
the sun,1.3834419720915037e-16
also,1.3704315460216776e-16
require essential,1.3660947373317356e-16
flow,1.3530843112619095e-16
to convert,1.3314002678121994e-16
warm,1.3270634591222574e-16
describe,1.3183898417423734e-16
light energy,1.3010426069826053e-16
dioxide,1.2663481374630692e-16
