Student Model,Teacher Model,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,gemma2_9b,0.548,0.343,0.123,0.308
gpt2_gemma2_9b,llama8b,0.549,0.36,0.133,0.326
gpt2_gemma2_9b,mixtral,0.564,0.366,0.139,0.332
gpt2_gemma2_9b,llama70b,0.548,0.271,0.097,0.252
gpt2_llama8b,gemma2_9b,0.572,0.335,0.116,0.305
gpt2_llama8b,llama8b,0.59,0.368,0.139,0.338
gpt2_llama8b,mixtral,0.602,0.378,0.146,0.345
gpt2_llama8b,llama70b,0.546,0.261,0.09,0.243
gpt2_mixtral,gemma2_9b,0.538,0.359,0.134,0.324
gpt2_mixtral,llama8b,0.564,0.389,0.157,0.353
gpt2_mixtral,mixtral,0.591,0.421,0.188,0.385
gpt2_mixtral,llama70b,0.49,0.28,0.104,0.261
gpt2_llama70b,gemma2_9b,0.505,0.362,0.157,0.318
gpt2_llama70b,llama8b,0.509,0.364,0.165,0.32
gpt2_llama70b,mixtral,0.519,0.358,0.161,0.317
gpt2_llama70b,llama70b,0.533,0.377,0.192,0.346
