feature,importance
the,1.3791051634015616e-14
of,9.870576578308032e-15
from,5.931886926102692e-15
to,5.693362448155881e-15
more,5.546778314435841e-15
in the,5.316927453868914e-15
would,5.241466982663923e-15
but,4.92227786308419e-15
this,4.2223169405275485e-15
as,3.406996906818449e-15
be,3.4009253746525303e-15
not,3.3514857555871913e-15
process,3.3094187112947537e-15
from the,3.2942398808799567e-15
through,3.2291877505308264e-15
driving in the,3.1654366627886787e-15
driving in,3.1654366627886787e-15
to the,3.0687258290029718e-15
is,2.9698465908722937e-15
would be,2.927345865710862e-15
driving,2.927345865710862e-15
in,2.8280329467111898e-15
have,2.824563499759236e-15
choices,2.7582103268031233e-15
it is,2.7369599642224074e-15
comparison,2.6944592390609756e-15
this is,2.6875203451570684e-15
not the,2.6044704587446788e-15
but this,2.3670301829703533e-15
during the,2.235191198796116e-15
but this is,2.2258670601127406e-15
bird,2.2239154962022667e-15
accurately,2.192690473634684e-15
primary,2.1840168562548e-15
fish,2.1141942363467336e-15
state,2.091209150290041e-15
sleet,2.056731521205002e-15
fall,2.049033685780355e-15
during,2.022687572988957e-15
sleet and,2.0147186870211886e-15
nest,2.01423079604357e-15
substance,1.9892941460764035e-15
of the,1.9827889330414905e-15
while,1.966959581323202e-15
their,1.961972251329769e-15
source,1.945492378307989e-15
pelican,1.940721888749053e-15
the sky,1.9010400892360835e-15
hail,1.8993053657601067e-15
the correct,1.891715950552708e-15
from the sky,1.8785971042656335e-15
digestion,1.8728508327514604e-15
choice,1.8665624601510444e-15
sleet and hail,1.8569130608159234e-15
and hail,1.8569130608159234e-15
would likely,1.8149544367407344e-15
ice,1.8005345478466772e-15
suitable choice,1.7889335846010823e-15
winter,1.7694179454963432e-15
the choices,1.762262211157939e-15
falling,1.732338231197339e-15
solid,1.7295193055488767e-15
sky in,1.7119552303546115e-15
sky in contrast,1.7119552303546115e-15
falling from the,1.7119552303546115e-15
the sky in,1.7119552303546115e-15
the pelican,1.7119552303546115e-15
falling from,1.7119552303546115e-15
season,1.6653345369377348e-15
properties,1.6543840949956312e-15
with,1.6475536213089725e-15
precipitation that,1.6460357382674928e-15
heat,1.6445178552260131e-15
change,1.644084174357019e-15
precipitation,1.6233759128625458e-15
substance with,1.6213701388434476e-15
and hail are,1.619689625476095e-15
hail are,1.619689625476095e-15
factor,1.603318172671564e-15
is not,1.582067810090848e-15
forms of,1.5650458359828257e-15
would be that,1.5629858518551032e-15
option is,1.5629858518551032e-15
fall through,1.5610342879446293e-15
through layer of,1.5610342879446293e-15
through layer,1.5610342879446293e-15
fall through layer,1.5610342879446293e-15
to change,1.550734367306017e-15
not primary water,1.5352302762394743e-15
primary water,1.5352302762394743e-15
not primary,1.5352302762394743e-15
primary water source,1.5352302762394743e-15
is not primary,1.5352302762394743e-15
water source,1.5352302762394743e-15
new substance with,1.5279661216838214e-15
new substance,1.5279661216838214e-15
its,1.5274240205975786e-15
birds,1.5269903397285844e-15
they are,1.5105104667068048e-15
during the winter,1.5048726154098802e-15
as it is,1.5041136738891403e-15
be that,1.5029210514994062e-15
of precipitation that,1.491645348905557e-15
of precipitation,1.491645348905557e-15
more suitable,1.4888264232570947e-15
option,1.4779844015322396e-15
still,1.474514954580286e-15
occur when,1.467792901110876e-15
is not the,1.466058177634899e-15
to construct,1.4563460978616813e-15
construct,1.4563460978616813e-15
liquid,1.4536982728685643e-15
the winter,1.448494102440634e-15
winter season,1.4389531233227615e-15
the winter season,1.4389531233227615e-15
replenished,1.438085761584773e-15
food digestion,1.4314314707511433e-15
the person driving,1.4287616229013977e-15
accurate comparison,1.4235574524734673e-15
more accurate comparison,1.4235574524734673e-15
accurate comparison would,1.4235574524734673e-15
comparison would,1.4235574524734673e-15
comparison would be,1.4235574524734673e-15
pebbles,1.4103301859691442e-15
forms of precipitation,1.407728100755179e-15
be replenished,1.4068607390171906e-15
rather,1.4068607390171906e-15
layer,1.4051260155412137e-15
naturally,1.4042586538032253e-15
occur when snowflakes,1.4005723664167746e-15
contrast sleet and,1.4005723664167746e-15
snowflakes fall,1.4005723664167746e-15
when snowflakes,1.4005723664167746e-15
when snowflakes fall,1.4005723664167746e-15
in contrast sleet,1.4005723664167746e-15
contrast sleet,1.4005723664167746e-15
snowflakes,1.4005723664167746e-15
snowflakes fall through,1.4005723664167746e-15
forms,1.3981871216373065e-15
layer of,1.396886079030324e-15
the observer,1.384309333829492e-15
observer,1.384309333829492e-15
replenished naturally,1.3838756529604979e-15
be replenished naturally,1.3838756529604979e-15
appears,1.3773704399255848e-15
incorrect because,1.3752020355806138e-15
accurately describe,1.3634926521177704e-15
that the person,1.3552527156068805e-15
accurate,1.3366044382401299e-15
in the blizzard,1.3321592093329393e-15
the blizzard,1.3321592093329393e-15
the person,1.3316171082466965e-15
example,1.319690884349356e-15
describe,1.3114509478384662e-15
of the choices,1.30668045827953e-15
role in the,1.3055962561070444e-15
more accurate,1.304512053934559e-15
therefore option is,1.3040783730655647e-15
therefore option,1.3040783730655647e-15
rationale,1.300175245244617e-15
grenadine,1.297247899378906e-15
blizzard,1.2886827022162706e-15
occur,1.2882490213472764e-15
no,1.2880321809127793e-15
they are not,1.2819606487468604e-15
be that the,1.281093287008872e-15
the process,1.2776238400569184e-15
that can,1.2676491800700518e-15
in the rain,1.2646134139870924e-15
the fire,1.2559397966072083e-15
role in,1.25507243486922e-15
role,1.25507243486922e-15
sky,1.2513861474827692e-15
air indicating that,1.2459651366203417e-15
air indicating,1.2459651366203417e-15
precipitation that can,1.2459651366203417e-15
indicating that they,1.2459651366203417e-15
indicating that,1.2459651366203417e-15
indicating,1.2459651366203417e-15
not truly falling,1.2459651366203417e-15
solid forms of,1.2459651366203417e-15
truly falling from,1.2459651366203417e-15
truly falling,1.2459651366203417e-15
hail are both,1.2459651366203417e-15
truly,1.2459651366203417e-15
both solid forms,1.2459651366203417e-15
can occur when,1.2459651366203417e-15
are both solid,1.2459651366203417e-15
both solid,1.2459651366203417e-15
solid forms,1.2459651366203417e-15
not truly,1.2459651366203417e-15
are not truly,1.2459651366203417e-15
not the correct,1.233822072288504e-15
nests,1.2278047502312095e-15
they,1.2238474123016374e-15
person driving in,1.2195106036116954e-15
person driving,1.2195106036116954e-15
that they are,1.214306433183765e-15
example of,1.2030307305899157e-15
occurs,1.19522447494802e-15
two,1.1856834958301476e-15
sight,1.1814551073574542e-15
sight while driving,1.1814551073574542e-15
sight while,1.1814551073574542e-15
that can occur,1.1783109210572462e-15
northern,1.1772301070165497e-15
process of,1.1770098784502636e-15
correct comparison more,1.1685531015048767e-15
comparison more accurate,1.1685531015048767e-15
comparison more,1.1685531015048767e-15
the correct comparison,1.1685531015048767e-15
correct comparison,1.1685531015048767e-15
while driving in,1.1685531015048767e-15
the grenadine,1.1669267982461484e-15
are both,1.1666015375944028e-15
both,1.1666015375944028e-15
as it,1.1661678567254086e-15
about,1.1565184573902876e-15
material,1.1551089945660564e-15
become,1.1535911115245767e-15
fire,1.139279642847768e-15
are not,1.137111238502797e-15
can occur,1.1366775576338028e-15
the bike,1.1362438767648086e-15
bike,1.1362438767648086e-15
likely,1.1319070680748666e-15
would have,1.1297386637298956e-15
that they,1.1281123604711674e-15
the water,1.1275702593849246e-15
stored,1.1258355359089478e-15
bird nests,1.120267141313698e-15
the water to,1.1188966420050406e-15
movement,1.1084883011491797e-15
is no,1.1041514924592377e-15
there is no,1.1041514924592377e-15
of matter,1.1015494072452725e-15
state of matter,1.1015494072452725e-15
detailed,1.0989473220313073e-15
therefore,1.096345236817342e-15
than,1.089840023782429e-15
warmer,1.0862621566132269e-15
observer the,1.0846358533544986e-15
the observer the,1.0846358533544986e-15
this is not,1.0807327255335508e-15
water to,1.0802448345559323e-15
to the other,1.0797569435783139e-15
cold,1.0701075442431929e-15
person,1.065987575987748e-15
that,1.065987575987748e-15
can be replenished,1.064036012077274e-15
will,1.0477729794899915e-15
worse sight while,1.039207782327356e-15
this is still,1.039207782327356e-15
would have worse,1.039207782327356e-15
worse sight,1.039207782327356e-15
still not,1.039207782327356e-15
still not the,1.039207782327356e-15
have worse,1.039207782327356e-15
have worse sight,1.039207782327356e-15
is still not,1.039207782327356e-15
worse,1.039207782327356e-15
use,1.0335699310304314e-15
becomes,1.0260889360402814e-15
beef,1.0246794732160502e-15
brown,1.0246794732160502e-15
into,1.0243542125643046e-15
in this,1.0234868508263162e-15
of time,1.023053169957322e-15
of ice,1.019312672462247e-15
away,1.0188247814846285e-15
likely have more,1.0171984782259003e-15
have more,1.0171984782259003e-15
while driving,1.0121027280152184e-15
beak,1.0072238182390336e-15
hemisphere,1.0070069778045365e-15
is incorrect because,1.0041880521560742e-15
the rain,1.003537530852583e-15
none of the,1.0009354456386177e-15
factor in,9.913944665207453e-16
this case,9.82287168271867e-16
in this case,9.82287168271867e-16
is an example,9.818534874028728e-16
an example,9.818534874028728e-16
an example of,9.818534874028728e-16
is an,9.80118763926896e-16
be one,9.796850830579018e-16
be one that,9.796850830579018e-16
naturally over,9.796850830579018e-16
time but this,9.796850830579018e-16
would be one,9.796850830579018e-16
replenished naturally over,9.796850830579018e-16
which,9.783840404509192e-16
one that can,9.62988369601625e-16
one that,9.62988369601625e-16
no rationale for,9.626088988412551e-16
no rationale,9.626088988412551e-16
is no rationale,9.626088988412551e-16
that can be,9.60603124822157e-16
water in,9.593020822151743e-16
water in the,9.575673587391975e-16
mouse,9.571336778702033e-16
it is not,9.536642309182497e-16
its state,9.454242944073599e-16
from red to,9.447737731038686e-16
to brown,9.447737731038686e-16
beef from red,9.447737731038686e-16
red,9.447737731038686e-16
beef from,9.447737731038686e-16
red to,9.447737731038686e-16
red to brown,9.447737731038686e-16
from red,9.447737731038686e-16
is the correct,9.433643102796374e-16
state of,9.384854005034526e-16
bird would,9.324003158103777e-16
long,9.300286235580657e-16
primary factor in,9.295949426890715e-16
factor in the,9.295949426890715e-16
the primary factor,9.295949426890715e-16
primary factor,9.295949426890715e-16
of time but,9.24173931826644e-16
there,9.237402509576498e-16
correct answer,9.215718466126788e-16
the correct answer,9.215718466126788e-16
most,9.194034422677078e-16
other,9.17668718791731e-16
option is the,9.124645483638005e-16
from its,9.118817896960896e-16
is still,9.11163505756818e-16
temperatures,9.102961440188295e-16
substance with different,9.095372024980897e-16
with different properties,9.095372024980897e-16
with different,9.095372024980897e-16
different properties,9.095372024980897e-16
beak is,9.094287822808411e-16
correct,9.049428957921823e-16
all,8.968520370800093e-16
likely use,8.96211150776293e-16
tool or material,8.96211150776293e-16
surroundings,8.96211150776293e-16
its surroundings,8.96211150776293e-16
use tool,8.96211150776293e-16
tool,8.96211150776293e-16
or material from,8.96211150776293e-16
or material,8.96211150776293e-16
tool or,8.96211150776293e-16
material from,8.96211150776293e-16
material from its,8.96211150776293e-16
bird would likely,8.96211150776293e-16
use tool or,8.96211150776293e-16
would likely use,8.96211150776293e-16
from its surroundings,8.96211150776293e-16
likely use tool,8.96211150776293e-16
choice would,8.944667923005412e-16
choice would be,8.944667923005412e-16
most suitable choice,8.944667923005412e-16
suitable choice would,8.944667923005412e-16
more suitable choice,8.944667923005412e-16
in the ecosystem,8.929489092590615e-16
such,8.873110579621368e-16
the most,8.864436962241484e-16
the pebbles,8.847089727481716e-16
typically associated with,8.845463424222988e-16
typically associated,8.845463424222988e-16
from the observer,8.825405684032006e-16
the ecosystem,8.821068875342064e-16
most suitable,8.819984673169579e-16
the most suitable,8.819984673169579e-16
can not,8.81239525796218e-16
choices do,8.803721640582296e-16
would likely have,8.760353553682876e-16
options which,8.714817062438485e-16
other options which,8.714817062438485e-16
options which are,8.714817062438485e-16
drop and food,8.686627805953862e-16
drop and,8.686627805953862e-16
drop,8.686627805953862e-16
and food becomes,8.686627805953862e-16
temperatures drop,8.686627805953862e-16
and food,8.686627805953862e-16
movement usually occurs,8.686627805953862e-16
temperatures drop and,8.686627805953862e-16
