feature,importance
the,7.438494264988549e-15
of,2.4424906541753444e-15
is,1.8492152253912764e-15
to,1.4710455076283324e-15
are,1.4328815911568427e-15
is because the,1.2685165418080402e-15
because the,1.2685165418080402e-15
which,1.177877240188252e-15
water,1.141448047192739e-15
of the,9.575673587391975e-16
coal,9.332812300755222e-16
plant,9.072603779358701e-16
the answer,9.020562075079397e-16
coal is,8.083811398051921e-16
and,8.049116928532385e-16
food,7.904918039591813e-16
the answer is,7.615436059538183e-16
they,7.598088824778415e-16
answer,7.467984564080155e-16
in the,7.4593109467002705e-16
answer is because,7.446300520630444e-16
because,7.37257477290143e-16
driving in,7.042977312465837e-16
driving in the,7.042977312465837e-16
the plant,7.012619651636243e-16
is because,6.869504964868156e-16
replenished,6.730727086790012e-16
canyon,6.626643678231403e-16
river,6.591949208711867e-16
the other,6.583275591331983e-16
options,6.435824095873954e-16
be,6.418476861114186e-16
other,6.349087922075114e-16
in,6.349087922075114e-16
from,6.080205783298709e-16
the grand,5.969617161705187e-16
the grand canyon,5.969617161705187e-16
grand,5.969617161705187e-16
grand canyon,5.969617161705187e-16
heat,5.898059818321144e-16
be replenished,5.800481622797449e-16
nutrients,5.793976409762536e-16
the water,5.711577044653637e-16
nonrenewable,5.568462357885551e-16
answer is,5.48172618408671e-16
energy,5.39499001028787e-16
from the,5.39499001028787e-16
driving,5.368969158148218e-16
to the,5.204170427930421e-16
they are,5.152128723651117e-16
its,5.100087019371813e-16
layer of,4.77048955893622e-16
resource,4.666406150377611e-16
naturally,4.614364446098307e-16
layer,4.354155924701786e-16
water and nutrients,4.3281350725621337e-16
this,4.3021142204224816e-16
replenished naturally,4.2847669856627135e-16
be replenished naturally,4.2847669856627135e-16
and nutrients,4.176346768414163e-16
less,4.129997125540408e-16
gas,4.0939474033052647e-16
by,4.0635897424756706e-16
due,4.0072112295064244e-16
mirrors,4.0072112295064244e-16
consume,4.0072112295064244e-16
into,3.920475055707584e-16
system,3.8424124992886277e-16
not be replenished,3.705803025555454e-16
can not be,3.705803025555454e-16
increases,3.686287386450715e-16
of the plant,3.660266534311063e-16
not be,3.6158142452391573e-16
not,3.608224830031759e-16
water and,3.5735303605122226e-16
object,3.5648567431323386e-16
will have,3.5388358909926865e-16
given,3.5388358909926865e-16
the given,3.5388358909926865e-16
through,3.526367566009103e-16
increase,3.5214886562329184e-16
pelican,3.469446951953614e-16
the mirrors,3.469446951953614e-16
through layer of,3.408731630294426e-16
fall through layer,3.408731630294426e-16
through layer,3.408731630294426e-16
fall through,3.408731630294426e-16
and the,3.400058012914542e-16
fall,3.400058012914542e-16
oil and,3.393552799879629e-16
and natural,3.393552799879629e-16
natural gas,3.393552799879629e-16
oil,3.393552799879629e-16
and natural gas,3.393552799879629e-16
oil and natural,3.393552799879629e-16
natural,3.3588583303600927e-16
food in,3.3306690738754696e-16
choices,3.3306690738754696e-16
nonrenewable resource,3.3306690738754696e-16
therefore,3.3306690738754696e-16
resources,3.3306690738754696e-16
used,3.2699537522162814e-16
time,3.2439329000766293e-16
can not,3.226585665316861e-16
new,3.215743643592006e-16
resource that,3.0921445959286586e-16
can,3.0878077872387166e-16
part of,3.0791341698588326e-16
part,3.0791341698588326e-16
fat,3.0617869350990645e-16
non,3.0531133177191805e-16
of water,2.949029909160572e-16
they consume,2.940356291780688e-16
food they,2.940356291780688e-16
food they consume,2.940356291780688e-16
cold,2.92300905702092e-16
renewable,2.896988204881268e-16
of food,2.872593656000344e-16
in short,2.8362728832220796e-16
naturally in short,2.8362728832220796e-16
naturally in,2.8362728832220796e-16
replenished naturally in,2.8362728832220796e-16
in short period,2.8362728832220796e-16
other choices do,2.7755575615628914e-16
against,2.7668839441830073e-16
due to,2.7582103268031233e-16
by the,2.7582103268031233e-16
of heat,2.723515857283587e-16
if they are,2.723515857283587e-16
other options,2.688821387764051e-16
the other options,2.688821387764051e-16
get,2.680147770384167e-16
options are,2.671474153004283e-16
other options are,2.671474153004283e-16
options are not,2.671474153004283e-16
size,2.671474153004283e-16
the more,2.651958513899544e-16
create,2.636779683484747e-16
of the given,2.6281060661048627e-16
hot,2.6020852139652106e-16
raindrops,2.5847379792054426e-16
snowflakes fall,2.5847379792054426e-16
of warm,2.5847379792054426e-16
of warm air,2.5847379792054426e-16
snowflakes,2.5847379792054426e-16
layer of warm,2.5847379792054426e-16
when snowflakes,2.5847379792054426e-16
when snowflakes fall,2.5847379792054426e-16
melt into,2.5847379792054426e-16
occur when snowflakes,2.5847379792054426e-16
snowflakes fall through,2.5847379792054426e-16
into raindrops,2.5847379792054426e-16
melt into raindrops,2.5847379792054426e-16
plant stem,2.5804011705155006e-16
easier,2.566306542273189e-16
many,2.5630539357557325e-16
occur when,2.5608855314107615e-16
forms of,2.5565487227208195e-16
precipitation that,2.5565487227208195e-16
often,2.5500435096859064e-16
too,2.502338614096544e-16
are not,2.498001805406602e-16
carries,2.49366499671666e-16
if they,2.4774019641293776e-16
the other choices,2.463307335887066e-16
the pelican,2.463307335887066e-16
responsible for,2.463307335887066e-16
due to the,2.463307335887066e-16
other choices,2.463307335887066e-16
responsible,2.463307335887066e-16
