feature,importance
key,2.0539125955565396e-15
study that,1.3544720900426909e-15
on,1.1407541578023484e-15
mice,1.1157741397482824e-15
overall the,1.0658141036401502e-15
are,9.968588454700722e-16
effects,9.298117831235686e-16
points,8.992806499463768e-16
on the,8.576472865229334e-16
the study,8.548717289613706e-16
study suggests that,8.437694987151189e-16
may,8.434225540199236e-16
water,7.827072323607353e-16
fungus,7.716050021144838e-16
the study suggests,7.549516567451064e-16
results showed,7.382983113757291e-16
for,7.355227538141662e-16
showed,7.16093850883226e-16
study suggests,6.605826996519682e-16
was conducted,6.494804694057165e-16
well,6.439293542825908e-16
summary,6.439293542825908e-16
suggests,6.38378239159465e-16
text discusses study,6.328271240363392e-16
agents,6.161737786669619e-16
that the,6.161737786669619e-16
acid,6.106226635438361e-16
cognitive,6.050715484207103e-16
experiment involving,6.022959908591474e-16
suggests that,6.022959908591474e-16
from the,5.995204332975846e-16
spending,5.884182030513329e-16
test,5.884182030513329e-16
effect,5.828670879282072e-16
be,5.828670879282072e-16
brain,5.800915303666443e-16
were performed using,5.63438184997267e-16
ect,5.613565168260948e-16
the experiment aimed,5.60662627435704e-16
were,5.578870698741412e-16
results,5.551115123125783e-16
old,5.412337245047638e-16
treatment,5.384581669432009e-16
other questions,5.329070518200751e-16
induced,5.329070518200751e-16
any other questions,5.329070518200751e-16
effect on,5.304784389537076e-16
individuals,5.259681579161679e-16
months,5.218048215738236e-16
aims,5.218048215738236e-16
the patient had,5.218048215738236e-16
disease,5.176414852314792e-16
has,5.162537064506978e-16
have any,5.162537064506978e-16
gastric,5.134781488891349e-16
energy,5.10702591327572e-16
acknowledge,5.079270337660091e-16
studies,5.079270337660091e-16
study on the,5.051514762044462e-16
well as the,5.051514762044462e-16
group,5.051514762044462e-16
have,5.023759186428834e-16
successful,5.009881398621019e-16
based on,4.940492459581947e-16
with hyperlipidemia,4.9127368839663175e-16
patients with hyperlipidemia,4.9127368839663175e-16
hyperlipidemia,4.9127368839663175e-16
conducted,4.884981308350689e-16
therapy,4.871103520542875e-16
extract,4.85722573273506e-16
involving,4.85722573273506e-16
treat,4.85722573273506e-16
amount,4.798245134551849e-16
with,4.773959005888173e-16
routine,4.718447854656915e-16
was conducted on,4.628242233906122e-16
impact,4.524158825347513e-16
staining,4.524158825347513e-16
reaction,4.496403249731884e-16
case,4.440892098500626e-16
include,4.4131365228849973e-16
process,4.4131365228849973e-16
td,4.3853809472693685e-16
cells with,4.3853809472693685e-16
the fungus,4.3298697960381104e-16
may be,4.246603069191224e-16
integrative,4.2188474935755947e-16
that the study,4.2188474935755947e-16
impact of,4.2049697057677805e-16
biology,4.182418300580082e-16
oral,4.163336342344337e-16
beneficial,4.163336342344337e-16
muscle,4.163336342344337e-16
the type,4.163336342344337e-16
with two,4.163336342344337e-16
describes study that,4.1078251911130794e-16
the brain,4.0696612746415893e-16
treatment of,4.0523140398818213e-16
that was,4.038436252074007e-16
pvt,4.0245584642661925e-16
sumac,4.010680676458378e-16
significantly,3.9968028886505636e-16
society,3.9968028886505636e-16
chains,3.9412917374193055e-16
protein,3.9135361618036767e-16
in europe,3.858025010572419e-16
microscopy,3.8302694349567903e-16
levels,3.8302694349567903e-16
the results,3.7816971776294395e-16
its,3.774758283725532e-16
3t3,3.774758283725532e-16
data analysis,3.774758283725532e-16
levels in,3.740063814205996e-16
significant,3.7192471324942745e-16
treating,3.712308238590367e-16
menthoides,3.7018998977345064e-16
lists,3.677613769070831e-16
technique,3.6637359812630164e-16
