feature,importance
colitis,5.627442956068762e-16
dalk,5.201568342716456e-16
piezoelectric,4.815592369311617e-16
device,4.690692279041286e-16
limitations,4.61783389305026e-16
ulcerative colitis,4.3298697960381104e-16
ulcerative,4.3298697960381104e-16
maollahm,3.6012859361278514e-16
human,3.4902636336653357e-16
piezoelectric device,3.389649672058681e-16
cold temperament,3.299444051307887e-16
meat,3.240463453124676e-16
cooking,3.240463453124676e-16
wildfire,3.2161773244610005e-16
rats,3.1988300897012324e-16
ethanol,2.9559688030644794e-16
people,2.9420910152566647e-16
risk,2.8588242884097783e-16
strains,2.777292285038868e-16
temperament,2.7755575615628914e-16
dalk has,2.755608241589158e-16
while dalk has,2.755608241589158e-16
while dalk,2.755608241589158e-16
and limitations,2.755608241589158e-16
depression,2.7269853042355406e-16
hot,2.6922908347160044e-16
making,2.6784130469081903e-16
extract,2.671474153004283e-16
continuity,2.6385144069607235e-16
performed,2.609024107869118e-16
using piezoelectric,2.583003255729466e-16
using piezoelectric device,2.583003255729466e-16
be challenging process,2.485858741074765e-16
challenging process,2.485858741074765e-16
and therefore,2.482389294122811e-16
reproductive,2.4528989950312053e-16
most frequent,2.42861286636753e-16
severity,2.3731017151362723e-16
continuity of care,2.3609586508044344e-16
continuity of,2.3609586508044344e-16
private,2.322794734332945e-16
responses,2.312386393477084e-16
therefore,2.293304435241339e-16
mos2,2.255140518769849e-16
electrical,2.255140518769849e-16
frequent,2.2412627309620346e-16
of care,2.2343238370581277e-16
be challenging,2.2152418788223827e-16
can be challenging,2.2152418788223827e-16
ginger,2.2065682614424987e-16
system,2.1788126858268696e-16
hot and cold,2.1649348980190552e-16
and cold,2.1649348980190552e-16
therapeutic responses,2.1649348980190552e-16
therapeutic responses of,2.1649348980190552e-16
patients with ulcerative,2.1649348980190552e-16
with ulcerative colitis,2.1649348980190552e-16
with ulcerative,2.1649348980190552e-16
peel,2.1649348980190552e-16
and cold temperament,2.1649348980190552e-16
responses of hot,2.1649348980190552e-16
temperament patients with,2.1649348980190552e-16
cold temperament patients,2.1649348980190552e-16
responses of,2.1649348980190552e-16
temperament patients,2.1649348980190552e-16
documented,2.123301534595612e-16
mushroom,2.123301534595612e-16
quality,2.0539125955565397e-16
hot and,2.050443148604586e-16
of hot,2.050443148604586e-16
of hot and,2.050443148604586e-16
when performed,2.0239886155959396e-16
of using piezoelectric,2.0239886155959396e-16
process when performed,2.0239886155959396e-16
process when,2.0239886155959396e-16
challenging process when,2.0239886155959396e-16
device to,2.0239886155959396e-16
mel which can,2.0239886155959396e-16
conventionally,2.0239886155959396e-16
mel which,2.0239886155959396e-16
piezoelectric device to,2.0239886155959396e-16
performed conventionally,2.0239886155959396e-16
mel,2.0239886155959396e-16
when performed conventionally,2.0239886155959396e-16
its use,2.0020877317117324e-16
its use as,2.0020877317117324e-16
has potential its,2.0020877317117324e-16
has potential,2.0020877317117324e-16
use as,2.0020877317117324e-16
potential its,2.0020877317117324e-16
potential its use,2.0020877317117324e-16
dalk has potential,2.0020877317117324e-16
investigated,1.9984014443252818e-16
nm,1.9637069748057457e-16
appendix,1.9567680809018384e-16
re,1.942890293094024e-16
for elderly,1.9238083348582792e-16
asthma,1.880440247958859e-16
when,1.880440247958859e-16
sts,1.8769708010069053e-16
in italy,1.8769708010069053e-16
italy,1.8769708010069053e-16
solutions,1.8422763314873692e-16
for elderly people,1.8336027141074851e-16
the system,1.8231943732516242e-16
help,1.8179902028236938e-16
of using,1.81452075587174e-16
of meat,1.8006429680639257e-16
of maollahm,1.8006429680639257e-16
smell,1.8006429680639257e-16
smell and,1.8006429680639257e-16
smell and chemical,1.8006429680639257e-16
constituents of,1.8006429680639257e-16
taste smell and,1.8006429680639257e-16
chemical constituents,1.8006429680639257e-16
remedy,1.8006429680639257e-16
taste smell,1.8006429680639257e-16
constituents,1.8006429680639257e-16
taste,1.8006429680639257e-16
chemical constituents of,1.8006429680639257e-16
the taste smell,1.8006429680639257e-16
and chemical constituents,1.8006429680639257e-16
the taste,1.8006429680639257e-16
and chemical,1.8006429680639257e-16
fire,1.7867651802561113e-16
treatment option,1.781561009828181e-16
applicability,1.7694179454963432e-16
three,1.7555401576885288e-16
cold,1.7555401576885288e-16
therapeutic,1.7555401576885288e-16
only,1.7416623698807144e-16
suggests that,1.7312540290248534e-16
and data,1.7312540290248534e-16
elderly people,1.726049858596923e-16
risk of,1.7225804116449694e-16
does,1.7208456881689927e-16
term,1.717376241217039e-16
wound,1.7139067942650854e-16
nimh,1.7104373473131317e-16
virus,1.7069679003611783e-16
diabetes and,1.7017637299332477e-16
full,1.6930901125533636e-16
wse2,1.6861512186494565e-16
potential benefits,1.6792123247455492e-16
conducted on,1.6618650899857811e-16
lcai,1.6497220256539434e-16
peel extract,1.6497220256539434e-16
importance of using,1.629339024811216e-16
healing,1.609823385706477e-16
wound healing,1.609823385706477e-16
behavioral,1.5959455978986625e-16
carefully due,1.592692991381206e-16
carefully due to,1.592692991381206e-16
treatment option should,1.592692991381206e-16
option should be,1.592692991381206e-16
considered carefully due,1.592692991381206e-16
be considered carefully,1.592692991381206e-16
use as treatment,1.592692991381206e-16
option should,1.592692991381206e-16
considered carefully,1.592692991381206e-16
risks and limitations,1.592692991381206e-16
complete,1.582067810090848e-16
service,1.5681900222830337e-16
diabetes and depression,1.5681900222830337e-16
inguinal,1.5612511283791264e-16
compared the,1.5577816814271727e-16
us,1.547373340571312e-16
suggests,1.547373340571312e-16
creating,1.547373340571312e-16
the mushroom,1.5404344466674047e-16
quality of life,1.5334955527634976e-16
this study,1.5334955527634976e-16
of life,1.5334955527634976e-16
to human,1.5265566588595902e-16
ltncs,1.5230872119076366e-16
effectively,1.519617764955683e-16
study investigated the,1.5161483180037295e-16
study investigated,1.5161483180037295e-16
clinical re,1.5126788710517758e-16
induced,1.5126788710517758e-16
eus fna,1.4988010832439614e-16
fna,1.4988010832439614e-16
moderate,1.491862189340054e-16
regarding its,1.4901274658640774e-16
not humans and,1.4901274658640774e-16
humans and,1.4901274658640774e-16
humans and therefore,1.4901274658640774e-16
its applicability,1.4901274658640774e-16
rats not humans,1.4901274658640774e-16
rats not,1.4901274658640774e-16
its applicability to,1.4901274658640774e-16
health this,1.4901274658640774e-16
health this study,1.4901274658640774e-16
applicability to human,1.4901274658640774e-16
and therefore carries,1.4901274658640774e-16
applicability to,1.4901274658640774e-16
regarding its applicability,1.4901274658640774e-16
on rats,1.4901274658640774e-16
carries limitations,1.4901274658640774e-16
limitations regarding,1.4901274658640774e-16
on rats not,1.4901274658640774e-16
not humans,1.4901274658640774e-16
limitations regarding its,1.4901274658640774e-16
therefore carries limitations,1.4901274658640774e-16
therefore carries,1.4901274658640774e-16
carries limitations regarding,1.4901274658640774e-16
carries,1.4901274658640774e-16
conducted on rats,1.4901274658640774e-16
to human health,1.4901274658640774e-16
text and,1.4849232954361468e-16
the text and,1.4849232954361468e-16
public,1.4849232954361468e-16
safely and,1.4802612260944592e-16
to safely and,1.4802612260944592e-16
to safely,1.4802612260944592e-16
