Student Model,Teacher Model,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,gemma2_9b,0.628,0.377,0.148,0.348
gpt2_gemma2_9b,llama8b,0.44,0.171,0.021,0.16
gpt2_gemma2_9b,mixtral,0.433,0.158,0.019,0.147
gpt2_gemma2_9b,llama70b,0.382,0.149,0.015,0.14
gpt2_gemma2_9b,mistral7b,0.489,0.173,0.026,0.163
gpt2_llama8b,gemma2_9b,0.413,0.183,0.027,0.171
gpt2_llama8b,llama8b,0.69,0.477,0.212,0.444
gpt2_llama8b,mixtral,0.427,0.168,0.024,0.156
gpt2_llama8b,llama70b,0.375,0.159,0.019,0.148
gpt2_llama8b,mistral7b,0.475,0.176,0.029,0.164
gpt2_mixtral,gemma2_9b,0.404,0.166,0.021,0.152
gpt2_mixtral,llama8b,0.42,0.167,0.023,0.153
gpt2_mixtral,mixtral,0.7,0.519,0.276,0.482
gpt2_mixtral,llama70b,0.361,0.16,0.018,0.147
gpt2_mixtral,mistral7b,0.469,0.171,0.03,0.158
gpt2_llama70b,gemma2_9b,0.367,0.163,0.017,0.151
gpt2_llama70b,llama8b,0.385,0.166,0.019,0.154
gpt2_llama70b,mixtral,0.378,0.165,0.018,0.152
gpt2_llama70b,llama70b,0.618,0.468,0.225,0.435
gpt2_llama70b,mistral7b,0.421,0.163,0.022,0.152
gpt2_mistral7b,gemma2_9b,0.426,0.174,0.023,0.161
gpt2_mistral7b,llama8b,0.44,0.177,0.026,0.164
gpt2_mistral7b,mixtral,0.436,0.169,0.027,0.156
gpt2_mistral7b,llama70b,0.38,0.158,0.019,0.147
gpt2_mistral7b,mistral7b,0.784,0.588,0.36,0.555
