feature,importance
describes study that,1.1990408665951691e-15
status,1.0547118733938987e-15
aging,1.0436096431476472e-15
respiratory,1.0436096431476472e-15
highlights the importance,1.0345890810725677e-15
who,1.0130785099704553e-15
particularly,9.658940314238861e-16
type,7.660538869913581e-16
rare,7.618905506490137e-16
used to,7.605027718682322e-16
the study used,6.994405055138486e-16
integrated,6.827871601444713e-16
acknowledge,6.716849298982197e-16
text describes,6.328271240363392e-16
the diagnosis,6.272760089132135e-16
be used to,6.272760089132135e-16
studies,6.245004513516506e-16
showing,6.217248937900876e-16
months,6.161737786669619e-16
used in,6.161737786669619e-16
that,6.106226635438361e-16
aimed to identify,5.995204332975846e-16
the authors,5.995204332975846e-16
discusses study,5.884182030513329e-16
in the,5.759281940243e-16
scores,5.662137425588298e-16
available,5.662137425588298e-16
included,5.620504062164855e-16
the impact of,5.554584570077736e-16
are then,5.551115123125783e-16
south,5.551115123125783e-16
life,5.551115123125783e-16
children,5.537237335317968e-16
over,5.495603971894525e-16
findings,5.440092820663267e-16
effective,5.384581669432009e-16
the interaction,5.329070518200751e-16
self,5.329070518200751e-16
100,5.315192730392937e-16
artery,5.218048215738236e-16
in other,5.218048215738236e-16
cues,5.218048215738236e-16
focusing on,5.10702591327572e-16
text is,4.996003610813204e-16
accession numbers,4.968248035197575e-16
these,4.968248035197575e-16
daughter,4.940492459581947e-16
mutations,4.940492459581947e-16
health,4.829470157119431e-16
study aimed to,4.829470157119431e-16
study aimed,4.829470157119431e-16
the study,4.829470157119431e-16
study on the,4.773959005888173e-16
beam,4.773959005888173e-16
both,4.773959005888173e-16
hypertension,4.662936703425658e-16
its,4.662936703425658e-16
ct scan revealed,4.6074255521944e-16
in terms of,4.6074255521944e-16
in terms,4.6074255521944e-16
uk,4.579669976578771e-16
sequence,4.551914400963141e-16
explains,4.508546314063721e-16
found that,4.496403249731884e-16
properties of,4.440892098500626e-16
various techniques including,4.4131365228849973e-16
was performed,4.3992587350771827e-16
driven,4.3853809472693685e-16
24,4.3853809472693685e-16
antihypertensive,4.357625371653739e-16
treated,4.3298697960381104e-16
valuable,4.3021142204224816e-16
potential,4.274358644806853e-16
the text then,4.274358644806853e-16
overall the text,4.274358644806853e-16
sequencing,4.274358644806853e-16
right atrial,4.229255834431456e-16
dental,4.2188474935755947e-16
false,4.2188474935755947e-16
to conduct,4.2188474935755947e-16
describes the use,4.2188474935755947e-16
injection,4.1707089171172387e-16
is the,4.163336342344337e-16
the crystals,4.163336342344337e-16
authors acknowledge,4.135580766728708e-16
the impact,4.1217029789208936e-16
total,4.119968255444917e-16
mri,4.1078251911130794e-16
the potential,4.1078251911130794e-16
target,4.1078251911130794e-16
dr,4.0939474033052647e-16
physician,4.0523140398818213e-16
education,4.0523140398818213e-16
experiments,4.0523140398818213e-16
reductions,4.0245584642661925e-16
key findings,3.9968028886505636e-16
discusses study on,3.9968028886505636e-16
unusual,3.9794556538907956e-16
experimental setup,3.969047313034935e-16
across,3.95516952522712e-16
characterized,3.9412917374193055e-16
there,3.9412917374193055e-16
also mentions the,3.9412917374193055e-16
medical,3.9135361618036767e-16
cells,3.885780586188048e-16
symptoms,3.885780586188048e-16
investigates,3.885780586188048e-16
the analysis,3.885780586188048e-16
context of,3.885780586188048e-16
challenges of,3.885780586188048e-16
the paper,3.885780586188048e-16
quality,3.858025010572419e-16
do,3.805983306293115e-16
services,3.795574965437254e-16
underwent,3.774758283725532e-16
centre,3.774758283725532e-16
effect,3.767819389821625e-16
conducted using,3.7192471324942745e-16
complications,3.7192471324942745e-16
the study suggests,3.7192471324942745e-16
in,3.7192471324942745e-16
