Student Model,Teacher Model,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,gemma2_9b,0.745,0.593,0.364,0.537
gpt2_gemma2_9b,llama8b,0.763,0.595,0.424,0.557
gpt2_gemma2_9b,mixtral,0.792,0.635,0.431,0.581
gpt2_gemma2_9b,llama70b,0.753,0.591,0.379,0.53
gpt2_llama8b,gemma2_9b,0.773,0.633,0.405,0.573
gpt2_llama8b,llama8b,0.752,0.584,0.414,0.546
gpt2_llama8b,mixtral,0.798,0.649,0.448,0.597
gpt2_llama8b,llama70b,0.753,0.595,0.375,0.537
gpt2_mixtral,gemma2_9b,0.743,0.582,0.385,0.532
gpt2_mixtral,llama8b,0.825,0.708,0.562,0.675
gpt2_mixtral,mixtral,0.803,0.646,0.488,0.609
gpt2_mixtral,llama70b,0.74,0.583,0.391,0.527
gpt2_llama70b,gemma2_9b,0.767,0.622,0.4,0.565
gpt2_llama70b,llama8b,0.78,0.622,0.47,0.59
gpt2_llama70b,mixtral,0.833,0.707,0.526,0.657
gpt2_llama70b,llama70b,0.755,0.594,0.389,0.539
