feature,importance
zinn,9.71065675786642e-16
fascinating,7.975391180803371e-16
life,7.060324547225605e-16
atwater,6.323067069935462e-16
seen,6.106226635438361e-16
political,5.48172618408671e-16
both,5.403663627667754e-16
tone,5.169475958410885e-16
this,5.082739784612045e-16
is seen,5.065392549852277e-16
is seen as,5.065392549852277e-16
documentary,4.597017211338539e-16
in,4.597017211338539e-16
lee,4.462576141950336e-16
seen as,4.440892098500626e-16
life and,4.371503159461554e-16
on the,4.367166350771612e-16
despite,4.3368086899420177e-16
of the,4.206704429243757e-16
which,4.145989107584569e-16
patrick,4.0072112295064244e-16
history,3.937009138837988e-16
is both,3.7903707950093235e-16
interested in the,3.720981855970251e-16
despite this,3.651592916931179e-16
figure,3.642919299551295e-16
black,3.5908775952719907e-16
fascinating and,3.562146237701125e-16
performance,3.5475095083725705e-16
the text contains,3.469446951953614e-16
contains,3.469446951953614e-16
text contains,3.469446951953614e-16
and emotionally,3.46077333457373e-16
boogie man,3.421742056364252e-16
boogie,3.421742056364252e-16
and tone,3.410900034639397e-16
cinematography,3.3415110956003247e-16
despite this the,3.3306690738754696e-16
portrayal,3.3306690738754696e-16
portrayal of,3.3306690738754696e-16
this the,3.3306690738754696e-16
the movie,3.3306690738754696e-16
the documentary is,3.2699537522162814e-16
the original,3.2699537522162814e-16
documentary is,3.2699537522162814e-16
zinn life,3.154215170303454e-16
offering,3.148523108897905e-16
allen,3.0878077872387166e-16
black narcissus,3.0704605524789486e-16
narcissus,3.0704605524789486e-16
but its,3.0704605524789486e-16
family,3.0531133177191805e-16
war,3.0466081046842675e-16
and fascinating,3.0357660829594124e-16
are also,3.0270924655795284e-16
reviewers note,3.0010716134398763e-16
reviewers note that,3.0010716134398763e-16
original,2.983724378680108e-16
is well,2.979387569990166e-16
and work,2.957703526540456e-16
life and work,2.957703526540456e-16
through,2.94469310047063e-16
positive praising the,2.914335439641036e-16
positive praising,2.914335439641036e-16
powerful and,2.907830226606123e-16
fascinating look at,2.905661822261152e-16
fascinating look,2.905661822261152e-16
than,2.90132501357121e-16
too,2.8796409701215e-16
footage,2.875304161431558e-16
zinn life and,2.8666305440516737e-16
the film for,2.8449465006019636e-16
reviewers appreciate the,2.839525489739536e-16
reviewers appreciate,2.839525489739536e-16
hartley,2.740863092043355e-16
opinions,2.740863092043355e-16
some reviewers note,2.740863092043355e-16
emotionally resonant,2.738694687698384e-16
and emotionally resonant,2.738694687698384e-16
resonant,2.738694687698384e-16
and it,2.734357879008442e-16
look,2.732189474663471e-16
look at,2.732189474663471e-16
is must,2.706168622523819e-16
struggle,2.688821387764051e-16
use,2.688821387764051e-16
use of,2.688821387764051e-16
often,2.658463726934457e-16
voice,2.641116492174689e-16
to zinn,2.6216008530699497e-16
informative,2.609674629172609e-16
century,2.601001011792725e-16
pino,2.5855511308348067e-16
donaggio,2.5855511308348067e-16
by pino donaggio,2.5855511308348067e-16
by pino,2.5855511308348067e-16
pino donaggio,2.5855511308348067e-16
score by,2.5855511308348067e-16
score by pino,2.5855511308348067e-16
