Student Model,Teacher Model,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,gemma2_9b,0.71,0.441,0.216,0.395
gpt2_gemma2_9b,llama8b,0.596,0.226,0.066,0.2
gpt2_gemma2_9b,mixtral,0.594,0.27,0.081,0.233
gpt2_gemma2_9b,llama70b,0.578,0.239,0.063,0.21
gpt2_llama8b,gemma2_9b,0.611,0.266,0.074,0.233
gpt2_llama8b,llama8b,0.764,0.513,0.294,0.472
gpt2_llama8b,mixtral,0.618,0.288,0.088,0.255
gpt2_llama8b,llama70b,0.602,0.285,0.088,0.245
gpt2_mixtral,gemma2_9b,0.636,0.274,0.093,0.239
gpt2_mixtral,llama8b,0.63,0.263,0.077,0.231
gpt2_mixtral,mixtral,0.806,0.549,0.336,0.504
gpt2_mixtral,llama70b,0.619,0.261,0.078,0.236
gpt2_llama70b,gemma2_9b,0.605,0.241,0.07,0.213
gpt2_llama70b,llama8b,0.634,0.274,0.095,0.239
gpt2_llama70b,mixtral,0.629,0.276,0.089,0.247
gpt2_llama70b,llama70b,0.766,0.5,0.27,0.449
