Student Model,Teacher Model,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,gemma2_9b,0.677,0.457,0.221,0.405
gpt2_gemma2_9b,llama8b,0.547,0.237,0.06,0.203
gpt2_gemma2_9b,mixtral,0.568,0.275,0.078,0.234
gpt2_gemma2_9b,llama70b,0.549,0.25,0.061,0.216
gpt2_llama8b,gemma2_9b,0.6,0.267,0.071,0.235
gpt2_llama8b,llama8b,0.751,0.527,0.302,0.486
gpt2_llama8b,mixtral,0.61,0.289,0.085,0.253
gpt2_llama8b,llama70b,0.587,0.284,0.084,0.245
gpt2_mixtral,gemma2_9b,0.623,0.273,0.087,0.236
gpt2_mixtral,llama8b,0.607,0.267,0.072,0.23
gpt2_mixtral,mixtral,0.798,0.551,0.331,0.502
gpt2_mixtral,llama70b,0.608,0.267,0.078,0.241
gpt2_llama70b,gemma2_9b,0.586,0.241,0.065,0.215
gpt2_llama70b,llama8b,0.611,0.277,0.089,0.241
gpt2_llama70b,mixtral,0.621,0.276,0.087,0.243
gpt2_llama70b,llama70b,0.755,0.502,0.269,0.45
