Model 1,Model 2,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,gpt2_llama8b,0.235,0.156,0.021,0.138
gpt2_gemma2_9b,gpt2_mixtral,0.237,0.144,0.011,0.13
gpt2_gemma2_9b,gpt2_llama70b,0.232,0.158,0.021,0.14
gpt2_gemma2_9b,gpt2_mistral7b,0.222,0.138,0.01,0.125
gpt2_llama8b,gpt2_mixtral,0.28,0.164,0.015,0.146
gpt2_llama8b,gpt2_llama70b,0.276,0.178,0.024,0.158
gpt2_llama8b,gpt2_mistral7b,0.256,0.156,0.014,0.14
gpt2_mixtral,gpt2_llama70b,0.274,0.164,0.015,0.145
gpt2_mixtral,gpt2_mistral7b,0.271,0.159,0.014,0.142
gpt2_llama70b,gpt2_mistral7b,0.257,0.157,0.014,0.14
