Model 1,Model 2,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,gpt2_llama8b,0.391,0.161,0.016,0.145
gpt2_gemma2_9b,gpt2_mixtral,0.411,0.158,0.017,0.143
gpt2_gemma2_9b,gpt2_llama70b,0.399,0.162,0.018,0.146
gpt2_gemma2_9b,gpt2_mistral7b,0.405,0.156,0.017,0.14
gpt2_llama8b,gpt2_mixtral,0.416,0.164,0.02,0.147
gpt2_llama8b,gpt2_llama70b,0.399,0.165,0.02,0.147
gpt2_llama8b,gpt2_mistral7b,0.407,0.159,0.018,0.142
gpt2_mixtral,gpt2_llama70b,0.42,0.164,0.019,0.147
gpt2_mixtral,gpt2_mistral7b,0.433,0.165,0.021,0.148
gpt2_llama70b,gpt2_mistral7b,0.415,0.162,0.02,0.143
