Model 1,Model 2,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,gpt2_llama8b,0.338,0.17,0.015,0.157
gpt2_gemma2_9b,gpt2_mixtral,0.325,0.161,0.015,0.148
gpt2_gemma2_9b,gpt2_llama70b,0.264,0.156,0.012,0.144
gpt2_gemma2_9b,gpt2_mistral7b,0.387,0.169,0.019,0.157
gpt2_llama8b,gpt2_mixtral,0.364,0.166,0.019,0.152
gpt2_llama8b,gpt2_llama70b,0.305,0.159,0.013,0.147
gpt2_llama8b,gpt2_mistral7b,0.402,0.175,0.023,0.161
gpt2_mixtral,gpt2_llama70b,0.313,0.153,0.015,0.141
gpt2_mixtral,gpt2_mistral7b,0.392,0.171,0.024,0.156
gpt2_llama70b,gpt2_mistral7b,0.322,0.16,0.017,0.146
